Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_11_trace,297.7953281402588,Pass,324.8815870285034,40000016,7754265,5.1585,3526510,36092,0.4548,0.0047,1.0234%,0.9023,763392,21.1513,19.0848,20000016,3757473,5.3227,1776440,18064,0.4728,0.0048,1.0169%,0.9032,379242,20.9944,18.9621
fp,fp_12_trace,48.495734214782715,Pass,267.8017966747284,40000016,8448624,4.7345,4420257,56953,0.5232,0.0067,1.2885%,1.4238,3427315,60.1780,85.6828,20000016,4085902,4.8949,2222665,25977,0.5440,0.0064,1.1687%,1.2988,1535820,59.1223,76.7909
fp,fp_13_trace,84.63656806945801,Pass,224.43310117721558,40000016,16807347,2.3799,6454282,603004,0.3840,0.0359,9.3427%,15.0751,12446089,20.6401,311.1521,20000016,8286905,2.4134,3233671,303281,0.3902,0.0366,9.3788%,15.1640,6161256,20.3153,308.0626
fp,fp_1_trace,42.69381523132324,Pass,155.41687631607056,30000052,31812219,0.9430,5950800,495748,0.1871,0.0156,8.3308%,16.5249,28169269,56.8218,938.9740,15000052,15907409,0.9430,2965791,248739,0.1864,0.0156,8.3869%,16.5825,14095423,56.6675,939.6916
fp,fp_2_trace,113.98153591156006,Pass,206.79036498069763,30000052,6412592,4.6783,2471756,88491,0.3855,0.0138,3.5801%,2.9497,2911322,32.8996,97.0439,15000052,3168534,4.7341,1232306,45067,0.3889,0.0142,3.6571%,3.0045,1465474,32.5177,97.6979
fp,fp_3_trace,223.02585411071777,Pass,259.95782923698425,30000052,13702009,2.1895,1539997,85208,0.1124,0.0062,5.5330%,2.8403,8366820,98.1929,278.8935,15000052,6855327,2.1881,770204,43380,0.1124,0.0063,5.6323%,2.8920,4227738,97.4582,281.8482
fp,fp_4_trace,106.30326175689697,Pass,211.47631525993347,30000052,6655335,4.5077,2573337,20948,0.3867,0.0031,0.8140%,0.6983,1172124,55.9540,39.0707,15000052,2625827,5.7125,1285217,7591,0.4895,0.0029,0.5906%,0.5061,302687,39.8745,20.1791
fp,fp_5_trace,332.9483413696289,Pass,356.7506844997406,40000016,7646385,5.2312,740391,40333,0.0968,0.0053,5.4475%,1.0083,1376517,34.1288,34.4129,20000016,3787830,5.2801,370890,20098,0.0979,0.0053,5.4189%,1.0049,686225,34.1439,34.3112
fp,fp_6_trace,63.58891201019287,Pass,239.30576586723328,40000016,7029330,5.6904,7034423,91428,1.0007,0.0130,1.2997%,2.2857,2764665,30.2387,69.1166,20000016,3421449,5.8455,3515104,44930,1.0274,0.0131,1.2782%,2.2465,1324470,29.4785,66.2234
fp,fp_7_trace,159.0718936920166,Pass,298.5123269557953,40000016,8420902,4.7501,4716883,62216,0.5601,0.0074,1.3190%,1.5554,2501850,40.2123,62.5462,20000016,4024387,4.9697,2394520,28552,0.5950,0.0071,1.1924%,1.4276,1147013,40.1728,57.3506
